tax_order,category,sci_name,comm_name,exotic,count,country,state,lat,lon,dates,observer,media,gui,comments
14224,species,"Xiphorhynchus lachrymosus","Black-striped Woodcreeper","",2,Colombia,"Nariño",2.5829172,-77.9261664,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488141026,""
15085,species,"Lepidothrix coronata","Blue-crowned Manakin","",1,Colombia,"Nariño",2.581362,-77.92214,7/28/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492552428,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. With Diego. Walking the trail between Firmé and Guapi- stopped this list at the Cauca border."
15085,species,"Lepidothrix coronata","Blue-crowned Manakin","",1,Colombia,"Nariño",2.581362,-77.92214,7/28/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498854864,"Manacus2022_With Diego. Walking the trail between Firmé and Guapi- stopped this list at the Cauca border."
15085,species,"Lepidothrix coronata","Blue-crowned Manakin","",2,Colombia,"Nariño",2.5845017,-77.936391,7/28/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492068677,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022."
15085,species,"Lepidothrix coronata","Blue-crowned Manakin","",2,Colombia,"Nariño",2.5845017,-77.936391,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488138209,""
15085,species,"Lepidothrix coronata","Blue-crowned Manakin","",2,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488180978,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. List heading back towards town and checking nets. With Sebastian for a few minutes here and there but mostly just with guide Johann. Forest very quiet. Stopped list when I reached forest edge near town of Firme."
15085,species,"Lepidothrix coronata","Blue-crowned Manakin","",2,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507642350,""
15085,species,"Lepidothrix coronata","Blue-crowned Manakin","",4,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488188504,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Trail between Firme and Guapi. With Sebastian and guide Julian. Ended list after setting up second set of nets."
15085,species,"Lepidothrix coronata","Blue-crowned Manakin","",4,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507642368,""
15124,species,"Manacus manacus","White-bearded Manakin","",1,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488188501,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Trail between Firme and Guapi. With Sebastian and guide Julian. Ended list after setting up second set of nets."
15124,species,"Manacus manacus","White-bearded Manakin","",1,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr792981,0,URN:CornellLabOfOrnithology:EBIRD:OBS1507642365,""
15124,species,"Manacus manacus","White-bearded Manakin","",2,Colombia,"Nariño",2.584907,-77.928387,7/28/22,obsr169881,0,URN:CornellLabOfOrnithology:EBIRD:OBS1488180972,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. List heading back towards town and checking nets. With Sebastian for a few minutes here and there but mostly just with guide Johann. Forest very quiet. Stopped list when I reached forest edge near town of Firme."
