tax_order,category,sci_name,comm_name,count,country,state,lat,lon,dates,observer,comments
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",2,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",2,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-10,obsr436508,"Manacus2022_Hike up into the Área de Conservacón Quebrada Pericos--scouting for Manacus. Made it several hundred meters along trail before turning back. Hit one nice flock right where we turned around. Very steep climb up, reaching ~400 meters elevation or a little more."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",2,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-10,obsr792981,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",2,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-10,obsr803013,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",2,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-24,obsr164915,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Eamon, Valentina, and Victor. List from ~230 meters elevation at the road to ~500 meters at the clearing where we ended the list."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",2,Colombia,"Valle del Cauca",3.8486402,-76.7873720,2022-07-24,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Eamon, Valentina, and Victor. List from ~230 meters elevation at the road to ~500 meters at the clearing where we ended the list."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",3,Colombia,"Valle del Cauca",3.8472427,-76.7866175,2022-07-25,obsr792981,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",3,Colombia,"Valle del Cauca",3.8685128,-76.8315208,2022-07-24,obsr792981,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",3,Colombia,"Valle del Cauca",3.8705083,-76.8323307,2022-07-22,obsr792981,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",4,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr169881,"Manacus2022_Manacus expedition LSU-Humboldt Institute 2022. With Diego Cueva, Maira Holguín, and Sebastian Pérez-Peña. Stationary count from the balcony next to our rooms overlooking the river. A large, fruiting Cecropia was drawing in a steady stream of frugivores."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",4,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr436508,"Manacus2022_LSU + Humboldt Institute. With Diego Cueva, Maira Holguín, and Sebastian Pérez-Peña. Stationary count from the balcony next to our rooms overlooking the river. A large, fruiting Cecropia was drawing in a steady stream of frugivores."
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",4,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr792981,""
10446,species,"Ramphastos ambiguus","Yellow-throated Toucan",4,Colombia,"Valle del Cauca",3.8444195,-76.7937751,2022-07-10,obsr803013,""
10459,species,"Ramphastos brevis","Choco Toucan",1,Colombia,"Valle del Cauca",3.8344440,-76.8891670,2022-07-26,obsr164915,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. Birding with Andre, Sebastian, and Yenifer in the San Cipriano reserve. Worked the road starting from the entrance, and did one loop trail through the forest twice. Sunny and warm, lots of birds."
