tax_order,category,sci_name,comm_name,exotic,count,country,state,lat,lon,dates,observer,media,gui,comments
11049,species,"Campephilus gayaquilensis","Guayaquil Woodpecker","",1,Colombia,"Nariño",2.654944,-78.2841559,2/20/19,obsr136735,1,URN:CornellLabOfOrnithology:EBIRD:OBS716599656,""
11049,species,"Campephilus gayaquilensis","Guayaquil Woodpecker","",4,Colombia,"Nariño",2.6426477,-78.0650711,10/26/17,obsr472286,0,URN:CornellLabOfOrnithology:EBIRD:OBS549719819,""
11049,species,"Campephilus gayaquilensis","Guayaquil Woodpecker","",4,Colombia,"Nariño",2.6426477,-78.0650711,10/26/17,obsr761895,0,URN:CornellLabOfOrnithology:EBIRD:OBS546565472,""
11049,species,"Campephilus gayaquilensis","Guayaquil Woodpecker","",X,Colombia,"Nariño",2.5458333,-78.3036667,8/28/07,obsr235630,1,URN:CornellLabOfOrnithology:EBIRD:OBS870688277,"Historical checklist created by eBird/Macaulay Library from Internet Bird Collection media. Original IBC location name and coordinates: Sanquianga National Park (2.5723, -78.4149)."
11229,species,"Dryocopus lineatus","Lineated Woodpecker","",1,Colombia,"Nariño",2.653057,-78.286562,12/14/03,obsr235630,0,URN:CornellLabOfOrnithology:EBIRD:OBS290503783,""
11229,species,"Dryocopus lineatus","Lineated Woodpecker","",1,Colombia,"Nariño",2.653057,-78.286562,12/14/03,obsr472286,0,URN:CornellLabOfOrnithology:EBIRD:OBS290504035,""
11229,species,"Dryocopus lineatus","Lineated Woodpecker","",1,Colombia,"Nariño",2.653057,-78.286562,7/6/00,obsr536137,0,URN:CornellLabOfOrnithology:EBIRD:OBS345776639,""
11419,species,"Micrastur semitorquatus","Collared Forest-Falcon","",1,Colombia,"Nariño",2.6426477,-78.0650711,5/5/22,obsr761895,0,URN:CornellLabOfOrnithology:EBIRD:OBS1423105712,""
11419,species,"Micrastur semitorquatus","Collared Forest-Falcon","",1,Colombia,"Nariño",2.6563796,-78.0065821,5/2/22,obsr761895,0,URN:CornellLabOfOrnithology:EBIRD:OBS1423077848,""
11559,species,"Falco rufigularis","Bat Falcon","",1,Colombia,"Nariño",2.5480874,-77.9398083,10/22/20,obsr504374,0,URN:CornellLabOfOrnithology:EBIRD:OBS1000889683,""
11559,species,"Falco rufigularis","Bat Falcon","",1,Colombia,"Nariño",2.613984,-77.929239,7/28/22,obsr164915,0,URN:CornellLabOfOrnithology:EBIRD:OBS1492556309,"Manacus2022_ Manacus expedition LSU-Humboldt Institute 2022. With Diego. Incidental from the boat. (2.61398, -77.92924)"
11559,species,"Falco rufigularis","Bat Falcon","",1,Colombia,"Nariño",2.613984,-77.929239,7/28/22,obsr436508,0,URN:CornellLabOfOrnithology:EBIRD:OBS1498854836,"Manacus2022_With Diego. Incidental from the boat. (2.61398, -77.92924)"
11575,species,"Falco peregrinus","Peregrine Falcon","",1,Colombia,"Nariño",2.653057,-78.286562,12/7/03,obsr235630,0,URN:CornellLabOfOrnithology:EBIRD:OBS290485292,""
