Orden,Familia,GŽnero,Especie (nombre cient’fico),Especie (English common name),Especie (nombre comœn),Pericos,Triana,El 40,Zaragoza,Casco urbano Buenaventura,"Aves NO registradas en expedici—n Manacus2022, pero reportadas en eBird (0)"
Passeriformes,Vireonidae,Cyclarhis,Cyclarhis nigrirostris,Black-billed Peppershrike,,,,,,,0
Passeriformes,Vireonidae,Vireolanius,Vireolanius eximius,Yellow-browed Shrike-Vireo,,,,,,,0
Passeriformes,Vireonidae,Vireolanius,Vireolanius leucotis,Slaty-capped Shrike-Vireo,,,,,,,0
Passeriformes,Vireonidae,Tunchiornis,Tunchiornis ochraceiceps,Tawny-crowned Greenlet,,,,,,,0
Passeriformes,Vireonidae,Pachysylvia,Pachysylvia decurtata,Lesser Greenlet,,1,1,1,,,1
Passeriformes,Vireonidae,Pachysylvia,Pachysylvia semibrunnea,Rufous-naped Greenlet,,,,,,,0
Passeriformes,Vireonidae,Vireo,Vireo flavifrons,Yellow-throated Vireo,,,,,,,0
Passeriformes,Vireonidae,Vireo,Vireo leucophrys,Brown-capped Vireo,,,,,,,0
Passeriformes,Vireonidae,Vireo,Vireo olivaceus,Red-eyed Vireo,,,,,,,0
Passeriformes,Vireonidae,Vireo,Vireo chivi,Chivi Vireo,,,,,,,0
Passeriformes,Vireonidae,Vireo,Vireo flavoviridis,Yellow-green Vireo,,,,,,,0
Passeriformes,Corvidae,Cyanolyca,Cyanolyca pulchra,Beautiful Jay,,,,,,,0
Passeriformes,Corvidae,Cyanocorax,Cyanocorax affinis,Black-chested Jay,,,,1,1,,1
Passeriformes,Corvidae,Cyanocorax,Cyanocorax yncas,Green Jay,,,,,,,0
Passeriformes,Hirundinidae,Pygochelidon,Pygochelidon cyanoleuca,Blue-and-white Swallow,,1,,1,1,,1
Passeriformes,Hirundinidae,Orochelidon,Orochelidon flavipes,Pale-footed Swallow,,,,,,,0
Passeriformes,Hirundinidae,Orochelidon,Orochelidon murina,Brown-bellied Swallow,,,,,,,0
Passeriformes,Hirundinidae,Atticora,Atticora tibialis,White-thighed Swallow,,,,,,,0
Passeriformes,Hirundinidae,Stelgidopteryx,Stelgidopteryx ruficollis,Southern Rough-winged Swallow,,1,1,,,,1
Passeriformes,Hirundinidae,Progne,Progne subis,Purple Martin,,,,,,,0
Passeriformes,Hirundinidae,Progne,Progne chalybea,Gray-breasted Martin,,1,1,1,1,,1
Passeriformes,Hirundinidae,Progne,Progne tapera,Brown-chested Martin,,,,,,,0
Passeriformes,Hirundinidae,Tachycineta,Tachycineta albiventer,White-winged Swallow,,,,,,,0
Passeriformes,Hirundinidae,Riparia,Riparia riparia,Bank Swallow,,,,,,,0
Passeriformes,Hirundinidae,Hirundo,Hirundo rustica,Barn Swallow,,,,,,,0
Passeriformes,Hirundinidae,Petrochelidon,Petrochelidon pyrrhonota,Cliff Swallow,,,,,,,0
Passeriformes,Polioptilidae,Microbates,Microbates cinereiventris,Half-collared Gnatwren,,1,1,1,1,,1
Passeriformes,Polioptilidae,Ramphocaenus,Ramphocaenus melanurus,Trilling Gnatwren,,,,,,,0
Passeriformes,Polioptilidae,Polioptila,Polioptila schistaceigula,Slate-throated Gnatcatcher,,,,,1,,1
Passeriformes,Polioptilidae,Polioptila,Polioptila plumbea,Tropical Gnatcatcher,,,,,,,0
Passeriformes,Polioptilidae,Polioptila,Polioptila bilineata,White-browed Gnatcatcher,,,,,,,0
Passeriformes,Troglodytidae,Microcerculus,Microcerculus marginatus,Scaly-breasted Wren,,1,1,1,1,,1
Passeriformes,Troglodytidae,Troglodytes,Troglodytes aedon,House Wren,,1,1,1,1,1,1
Passeriformes,Troglodytidae,Campylorhynchus,Campylorhynchus albobrunneus,White-headed Wren,,,,,,,0
Passeriformes,Troglodytidae,Campylorhynchus,Campylorhynchus griseus,Bicolored Wren,,,,,,,0
Passeriformes,Troglodytidae,Pheugopedius,Pheugopedius spadix,Sooty-headed Wren,,,,,,,0
Passeriformes,Troglodytidae,Pheugopedius,Pheugopedius fasciatoventris,Black-bellied Wren,,,,,,,0
Passeriformes,Troglodytidae,Pheugopedius,Pheugopedius mystacalis,Whiskered Wren,,,,,,,0
Passeriformes,Troglodytidae,Cantorchilus,Cantorchilus leucopogon,Stripe-throated Wren,,,,,,,0
Passeriformes,Troglodytidae,Cantorchilus,Cantorchilus nigricapillus,Bay Wren,,1,,,1,,1
Passeriformes,Troglodytidae,Henicorhina,Henicorhina leucosticta,White-breasted Wood-Wren,,1,1,1,1,,1
Passeriformes,Troglodytidae,Henicorhina,Henicorhina leucophrys,Gray-breasted Wood-Wren,,,,,,,0
Passeriformes,Troglodytidae,Cyphorhinus,Cyphorhinus thoracicus,Chestnut-breasted Wren,,,,,,,0
Passeriformes,Troglodytidae,Cyphorhinus,Cyphorhinus phaeocephalus,Song Wren,,,,,,,0
Passeriformes,Cinclidae,Cinclus,Cinclus leucocephalus,White-capped Dipper,,,,,,,0
Passeriformes,Mimidae,Mimus,Mimus gilvus,Tropical Mockingbird,,,,,,,0
Passeriformes,Turdidae,Myadestes,Myadestes ralloides,Andean Solitaire,,,,,,,0
Passeriformes,Turdidae,Catharus,Catharus aurantiirostris,Orange-billed Nightingale-Thrush,,,,,,,0
Passeriformes,Turdidae,Catharus,Catharus ustulatus,Swainson's Thrush,,,,,,,0
Passeriformes,Turdidae,Entomodestes,Entomodestes coracinus,Black Solitaire,,,,,,,0
Passeriformes,Turdidae,Cichlopsis,Cichlopsis leucogenys,Rufous-brown Solitaire,,,,,,,0
Passeriformes,Turdidae,Turdus,Turdus obsoletus,Pale-vented Thrush,,1,1,,,,1
Passeriformes,Turdidae,Turdus,Turdus assimilis,White-throated Thrush,,,,1,,,0
Passeriformes,Turdidae,Turdus,Turdus grayi,Clay-colored Thrush,,,,,,,0
Passeriformes,Turdidae,Turdus,Turdus leucops,Pale-eyed Thrush,,,,,,,0
Passeriformes,Turdidae,Turdus,Turdus ignobilis,Black-billed Thrush,,1,,1,,,1
Passeriformes,Turdidae,Turdus,Turdus fuscater,Great Thrush,,,,,,,0
Passeriformes,Turdidae,Turdus,Turdus serranus,Glossy-black Thrush,,,,,,,0
Passeriformes,Estrildidae,Lonchura,Lonchura malacca,Tricolored Munia,,,,,,,0
Passeriformes,Passeridae,Passer,Passer domesticus,House Sparrow,,,,,,,0
Passeriformes,Fringillidae,Chlorophonia,Chlorophonia cyanea,Blue-naped Chlorophonia,,,,,,,0
Passeriformes,Fringillidae,Chlorophonia,Chlorophonia flavirostris,Yellow-collared Chlorophonia,,,,,,,0
Passeriformes,Fringillidae,Euphonia,Euphonia saturata,Orange-crowned Euphonia,,,,,,,0
Passeriformes,Fringillidae,Euphonia,Euphonia minuta,White-vented Euphonia,,,,,,,0
Passeriformes,Fringillidae,Euphonia,Euphonia laniirostris,Thick-billed Euphonia,,1,,,1,,1
Passeriformes,Fringillidae,Euphonia,Euphonia fulvicrissa,Fulvous-vented Euphonia,,1,,1,1,,1
Passeriformes,Fringillidae,Euphonia,Euphonia xanthogaster,Orange-bellied Euphonia,,1,1,1,1,,1
Passeriformes,Fringillidae,Spinus,Spinus psaltria,Lesser Goldfinch,,,,,,,0
Passeriformes,Fringillidae,Spinus,Spinus spinescens,Andean Siskin,,,,,,,0
Passeriformes,Fringillidae,Spinus,Spinus xanthogastrus,Yellow-bellied Siskin,,,,,,,0
Passeriformes,Passerellidae,Chlorospingus,Chlorospingus flavigularis,Yellow-throated Chlorospingus,,,,,,,0
Passeriformes,Passerellidae,Chlorospingus,Chlorospingus canigularis,Ashy-throated Chlorospingus,,,,,,,0
Passeriformes,Passerellidae,Chlorospingus,Chlorospingus flavopectus,Common Chlorospingus,,,,,,,0
Passeriformes,Passerellidae,Chlorospingus,Chlorospingus semifuscus,Dusky Chlorospingus,,,,,,,0
Passeriformes,Passerellidae,Arremon,Arremon atricapillus,Black-headed Brushfinch,,,,,,,0
Passeriformes,Passerellidae,Arremon,Arremon assimilis,Gray-browed Brushfinch,,,,,,,0
Passeriformes,Passerellidae,Arremon,Arremon aurantiirostris,Orange-billed Sparrow,,1,1,1,1,,1
Passeriformes,Passerellidae,Arremon,Arremon brunneinucha,Chestnut-capped Brushfinch,,,,,,,0
Passeriformes,Passerellidae,Arremon,Arremon castaneiceps,Olive Finch,,,,,,,0
Passeriformes,Passerellidae,Zonotrichia,Zonotrichia capensis,Rufous-collared Sparrow,,,,,,,0
Passeriformes,Passerellidae,Atlapetes,Atlapetes albinucha,White-naped Brushfinch,,,,,,,0
Passeriformes,Passerellidae,Atlapetes,Atlapetes tricolor,Tricolored Brushfinch,,,,,,,0
Passeriformes,Passerellidae,Atlapetes,Atlapetes latinuchus,Yellow-breasted Brushfinch,,,,,,,0
Passeriformes,Icteridae,Dolichonyx,Dolichonyx oryzivorus,Bobolink,,,,,,,0
Passeriformes,Icteridae,Leistes,Leistes militaris,Red-breasted Meadowlark,,,,,,,0
Passeriformes,Icteridae,Amblycercus,Amblycercus holosericeus,Yellow-billed Cacique,,,,,,,0
Passeriformes,Icteridae,Psarocolius,Psarocolius angustifrons,Russet-backed Oropendola,,,,,,,0
Passeriformes,Icteridae,Psarocolius,Psarocolius viridis,Green Oropendola,,,,,,,0
Passeriformes,Icteridae,Psarocolius,Psarocolius decumanus,Crested Oropendola,,,,,,,0
Passeriformes,Icteridae,Psarocolius,Psarocolius wagleri,Chestnut-headed Oropendola,,1,1,,1,,1
Passeriformes,Icteridae,Cacicus,Cacicus uropygialis,Scarlet-rumped Cacique,,1,1,1,1,,1
Passeriformes,Icteridae,Cacicus,Cacicus cela,Yellow-rumped Cacique,,,,,,,0
Passeriformes,Icteridae,Cacicus,Cacicus haemorrhous,Red-rumped Cacique,,,,,,,0
Passeriformes,Icteridae,Icterus,Icterus spurius,Orchard Oriole,,,,,,,0
Passeriformes,Icteridae,Icterus,Icterus chrysater,Yellow-backed Oriole,,,,,,,0
Passeriformes,Icteridae,Icterus,Icterus auricapillus,Orange-crowned Oriole,,,,,,,0
Passeriformes,Icteridae,Icterus,Icterus mesomelas,Yellow-tailed Oriole,,,,,,,0
Passeriformes,Icteridae,Icterus,Icterus galbula,Baltimore Oriole,,,,,,,0
Passeriformes,Icteridae,Molothrus,Molothrus bonariensis,Shiny Cowbird,,1,1,1,,,1
Passeriformes,Icteridae,Molothrus,Molothrus oryzivorus,Giant Cowbird,,,,,,,0
Passeriformes,Icteridae,Quiscalus,Quiscalus mexicanus,Great-tailed Grackle,,,,,,1,1
Passeriformes,Icteridae,Quiscalus,Quiscalus lugubris,Carib Grackle,,,,,,,0
Passeriformes,Parulidae,Parkesia,Parkesia motacilla,Louisiana Waterthrush,,,,,,,0
Passeriformes,Parulidae,Parkesia,Parkesia noveboracensis,Northern Waterthrush,,,,,,,0
Passeriformes,Parulidae,Vermivora,Vermivora chrysoptera,Golden-winged Warbler,,,,,,,0
Passeriformes,Parulidae,Mniotilta,Mniotilta varia,Black-and-white Warbler,,,,,,,0
Passeriformes,Parulidae,Protonotaria,Protonotaria citrea,Prothonotary Warbler,,,,,,,0
Passeriformes,Parulidae,Leiothlypis,Leiothlypis peregrina,Tennessee Warbler,,,,,,,0
Passeriformes,Parulidae,Geothlypis,Geothlypis philadelphia,Mourning Warbler,,,,,,,0
Passeriformes,Parulidae,Geothlypis,Geothlypis semiflava,Olive-crowned Yellowthroat,,,,,,,0
Passeriformes,Parulidae,Setophaga,Setophaga ruticilla,American Redstart,,,,,,,0
Passeriformes,Parulidae,Setophaga,Setophaga cerulea,Cerulean Warbler,,,,,,,0
Passeriformes,Parulidae,Setophaga,Setophaga pitiayumi,Tropical Parula,,,,,,,0
Passeriformes,Parulidae,Setophaga,Setophaga castanea,Bay-breasted Warbler,,,,,,,0
Passeriformes,Parulidae,Setophaga,Setophaga fusca,Blackburnian Warbler,,,,,,,0
Passeriformes,Parulidae,Setophaga,Setophaga petechia,Yellow Warbler,,,,,,,0
Passeriformes,Parulidae,Setophaga,Setophaga pensylvanica,Chestnut-sided Warbler,,,,,,,0
Passeriformes,Parulidae,Setophaga,Setophaga striata,Blackpoll Warbler,,,,,,,0
Passeriformes,Parulidae,Setophaga,Setophaga virens,Black-throated Green Warbler,,,,,,,0
Passeriformes,Parulidae,Basileuterus,Basileuterus culicivorus,Golden-crowned Warbler,,,,,,,0
Passeriformes,Parulidae,Basileuterus,Basileuterus tristriatus,Three-striped Warbler,,,,,,,0
Passeriformes,Parulidae,Myiothlypis,Myiothlypis luteoviridis,Citrine Warbler,,,,,,,0
Passeriformes,Parulidae,Myiothlypis,Myiothlypis fulvicauda,Buff-rumped Warbler,,1,1,1,,,1
Passeriformes,Parulidae,Myiothlypis,Myiothlypis chrysogaster,Golden-bellied Warbler,,1,1,,,,1
Passeriformes,Parulidae,Cardellina,Cardellina canadensis,Canada Warbler,,,,,,,0
Passeriformes,Parulidae,Myioborus,Myioborus miniatus,Slate-throated Redstart,,,,,,,0
Passeriformes,Parulidae,Myioborus,Myioborus ornatus,Golden-fronted Redstart,,,,,,,0
Passeriformes,Mitrospingidae,Mitrospingus,Mitrospingus cassinii,Dusky-faced Tanager,,1,1,1,1,,1
Passeriformes,Cardinalidae,Piranga,Piranga flava,Hepatic Tanager,,,,,,,0
Passeriformes,Cardinalidae,Piranga,Piranga rubra,Summer Tanager,,,,,,,0
Passeriformes,Cardinalidae,Piranga,Piranga olivacea,Scarlet Tanager,,,,,,,0
Passeriformes,Cardinalidae,Piranga,Piranga leucoptera,White-winged Tanager,,,,,,,0
Passeriformes,Cardinalidae,Habia,Habia cristata,Crested Ant-Tanager,,,,,,,0
Passeriformes,Cardinalidae,Chlorothraupis,Chlorothraupis olivacea,Lemon-spectacled Tanager,,1,1,1,,,1
Passeriformes,Cardinalidae,Chlorothraupis,Chlorothraupis stolzmanni,Ochre-breasted Tanager,,,,,,,0
Passeriformes,Cardinalidae,Pheucticus,Pheucticus ludovicianus,Rose-breasted Grosbeak,,,,,,,0
Passeriformes,Cardinalidae,Cyanoloxia,Cyanoloxia cyanoides,Blue-black Grosbeak,,,,,1,,1
Passeriformes,Cardinalidae,Cyanoloxia,Cyanoloxia brissonii,Ultramarine Grosbeak,,,,,,,0
Passeriformes,Cardinalidae,Spiza,Spiza americana,Dickcissel,,,,,,,0
Passeriformes,Thraupidae,Schistochlamys,Schistochlamys melanopis,Black-faced Tanager,,,,,,,0
Passeriformes,Thraupidae,Kleinothraupis,Kleinothraupis atropileus,Black-capped Hemispingus,,,,,,,0
Passeriformes,Thraupidae,Sphenopsis,Sphenopsis frontalis,Oleaginous Hemispingus,,,,,,,0
Passeriformes,Thraupidae,Eucometis,Eucometis penicillata,Gray-headed Tanager,,,,,,,0
Passeriformes,Thraupidae,Loriotus,Loriotus luctuosus,White-shouldered Tanager,,,,,,,0
Passeriformes,Thraupidae,Tachyphonus,Tachyphonus delatrii,Tawny-crested Tanager,,1,1,1,1,,1
Passeriformes,Thraupidae,Tachyphonus,Tachyphonus rufus,White-lined Tanager,,,,,,,0
Passeriformes,Thraupidae,Ramphocelus,Ramphocelus flammigerus,Flame-rumped Tanager,,1,1,1,1,1,1
Passeriformes,Thraupidae,Ramphocelus,Ramphocelus dimidiatus,Crimson-backed Tanager,,,,,,,0
Passeriformes,Thraupidae,Bangsia,Bangsia rothschildi,Golden-chested Tanager,,1,1,,,,1
Passeriformes,Thraupidae,Bangsia,Bangsia edwardsi,Moss-backed Tanager,,,,,,,0
Passeriformes,Thraupidae,Bangsia,Bangsia flavovirens,Yellow-green Tanager,,,,,,,0
Passeriformes,Thraupidae,Sporathraupis,Sporathraupis cyanocephala,Blue-capped Tanager,,,,,,,0
Passeriformes,Thraupidae,Anisognathus,Anisognathus lacrymosus,Lacrimose Mountain Tanager,,,,,,,0
Passeriformes,Thraupidae,Anisognathus,Anisognathus somptuosus,Blue-winged Mountain Tanager,,,,,,,0
Passeriformes,Thraupidae,Anisognathus,Anisognathus notabilis,Black-chinned Mountain Tanager,,,,,,,0
Passeriformes,Thraupidae,Iridosornis,Iridosornis porphyrocephalus,Purplish-mantled Tanager,,,,,,,0
Passeriformes,Thraupidae,Iridosornis,Iridosornis rufivertex,Golden-crowned Tanager,,,,,,,0
Passeriformes,Thraupidae,Pipraeidea,Pipraeidea melanonota,Fawn-breasted Tanager,,,,,,,0
Passeriformes,Thraupidae,Chlorochrysa,Chlorochrysa phoenicotis,Glistening-green Tanager,,,,,,,0
Passeriformes,Thraupidae,Chlorochrysa,Chlorochrysa nitidissima,Multicolored Tanager,,,,,,,0
Passeriformes,Thraupidae,Thraupis,Thraupis episcopus,Blue-gray Tanager,,1,1,1,1,,1
Passeriformes,Thraupidae,Thraupis,Thraupis palmarum,Palm Tanager,,1,1,1,1,1,1
Passeriformes,Thraupidae,Ixothraupis,Ixothraupis rufigula,Rufous-throated Tanager,,,,,,,0
Passeriformes,Thraupidae,Chalcothraupis,Chalcothraupis ruficervix,Golden-naped Tanager,,,,,,,0
Passeriformes,Thraupidae,Poecilostreptus,Poecilostreptus palmeri,Gray-and-gold Tanager,,,,,,,0
Passeriformes,Thraupidae,Stilpnia,Stilpnia heinei,Black-capped Tanager,,,,,,,0
Passeriformes,Thraupidae,Stilpnia,Stilpnia vitriolina,Scrub Tanager,,,,,,,0
Passeriformes,Thraupidae,Stilpnia,Stilpnia larvata,Golden-hooded Tanager,,1,1,1,1,,1
Passeriformes,Thraupidae,Stilpnia,Stilpnia cyanicollis,Blue-necked Tanager,,1,1,,,,1
Passeriformes,Thraupidae,Tangara,Tangara vassorii,Blue-and-black Tanager,,,,,,,0
Passeriformes,Thraupidae,Tangara,Tangara nigroviridis,Beryl-spangled Tanager,,,,,,,0
Passeriformes,Thraupidae,Tangara,Tangara labradorides,Metallic-green Tanager,,,,,,,0
Passeriformes,Thraupidae,Tangara,Tangara inornata,Plain-colored Tanager,,1,1,,,,1
Passeriformes,Thraupidae,Tangara,Tangara lavinia,Rufous-winged Tanager,,1,1,1,,,1
Passeriformes,Thraupidae,Tangara,Tangara gyrola,Bay-headed Tanager,,,,,,,0
Passeriformes,Thraupidae,Tangara,Tangara xanthocephala,Saffron-crowned Tanager,,,,,,,0
Passeriformes,Thraupidae,Tangara,Tangara parzudakii,Flame-faced Tanager,,,,,,,0
Passeriformes,Thraupidae,Tangara,Tangara johannae,Blue-whiskered Tanager,,1,1,1,1,,1
Passeriformes,Thraupidae,Tangara,Tangara arthus,Golden Tanager,,,,,,,0
Passeriformes,Thraupidae,Tangara,Tangara florida,Emerald Tanager,,1,1,,,,1
Passeriformes,Thraupidae,Tangara,Tangara icterocephala,Silver-throated Tanager,,1,1,,,,1
Passeriformes,Thraupidae,Tersina,Tersina viridis,Swallow Tanager,,,,,,,0
Passeriformes,Thraupidae,Dacnis,Dacnis lineata,Black-faced Dacnis,,,,,,,0
Passeriformes,Thraupidae,Dacnis,Dacnis hartlaubi,Turquoise Dacnis,,,,,,,0
Passeriformes,Thraupidae,Dacnis,Dacnis venusta,Scarlet-thighed Dacnis,,1,,1,1,,1
Passeriformes,Thraupidae,Dacnis,Dacnis cayana,Blue Dacnis,,1,,1,1,,1
Passeriformes,Thraupidae,Cyanerpes,Cyanerpes caeruleus,Purple Honeycreeper,,1,1,,1,,1
Passeriformes,Thraupidae,Cyanerpes,Cyanerpes cyaneus,Red-legged Honeycreeper,,,,,,,0
Passeriformes,Thraupidae,Chlorophanes,Chlorophanes spiza,Green Honeycreeper,,1,,1,1,,1
Passeriformes,Thraupidae,Iridophanes,Iridophanes pulcherrimus,Golden-collared Honeycreeper,,,,,,,0
Passeriformes,Thraupidae,Heterospingus,Heterospingus xanthopygius,Scarlet-browed Tanager,,,,1,,,0
Passeriformes,Thraupidae,Hemithraupis,Hemithraupis guira,Guira Tanager,,,,,,,0
Passeriformes,Thraupidae,Chrysothlypis,Chrysothlypis salmoni,Scarlet-and-white Tanager,,,,1,,,0
Passeriformes,Thraupidae,Diglossa,Diglossa lafresnayii,Glossy Flowerpiercer,,,,,,,0
Passeriformes,Thraupidae,Diglossa,Diglossa humeralis,Black Flowerpiercer,,,,,,,0
Passeriformes,Thraupidae,Diglossa,Diglossa albilatera,White-sided Flowerpiercer,,,,,,,0
Passeriformes,Thraupidae,Diglossa,Diglossa indigotica,Indigo Flowerpiercer,,,,,,,0
Passeriformes,Thraupidae,Diglossa,Diglossa sittoides,Rusty Flowerpiercer,,,,,,,0
Passeriformes,Thraupidae,Diglossa,Diglossa cyanea,Masked Flowerpiercer,,,,,,,0
Passeriformes,Thraupidae,Sicalis,Sicalis flaveola,Saffron Finch,,1,,,,1,1
Passeriformes,Thraupidae,Sicalis,Sicalis luteola,Grassland Yellow-Finch,,,,,,,0
Passeriformes,Thraupidae,Emberizoides,Emberizoides herbicola,Wedge-tailed Grass-Finch,,,,,,,0
Passeriformes,Thraupidae,Volatinia,Volatinia jacarina,Blue-black Grassquit,,,,,,1,1
Passeriformes,Thraupidae,Sporophila,Sporophila telasco,Chestnut-throated Seedeater,,,,,,,0
Passeriformes,Thraupidae,Sporophila,Sporophila minuta,Ruddy-breasted Seedeater,,,,,,,0
Passeriformes,Thraupidae,Sporophila,Sporophila funerea,Thick-billed Seed-Finch,,,,,,1,1
Passeriformes,Thraupidae,Sporophila,Sporophila angolensis,Chestnut-bellied Seed-Finch,,,,,,,0
Passeriformes,Thraupidae,Sporophila,Sporophila corvina,Variable Seedeater,,1,,,1,1,1
Passeriformes,Thraupidae,Sporophila,Sporophila intermedia,Gray Seedeater,,,,,,,0
Passeriformes,Thraupidae,Sporophila,Sporophila luctuosa,Black-and-white Seedeater,,,,,,,0
Passeriformes,Thraupidae,Sporophila,Sporophila nigricollis,Yellow-bellied Seedeater,,,,,,,0
Passeriformes,Thraupidae,Sporophila,Sporophila schistacea,Slate-colored Seedeater,,,,,,,0
Passeriformes,Thraupidae,Coereba,Coereba flaveola,Bananaquit,,1,,,,,1
Passeriformes,Thraupidae,Tiaris,Tiaris olivaceus,Yellow-faced Grassquit,,,,,,,0
Passeriformes,Thraupidae,Asemospiza,Asemospiza obscura,Dull-colored Grassquit,,,,,,,0
Passeriformes,Thraupidae,Saltator,Saltator maximus,Buff-throated Saltator,,1,,,1,,1
Passeriformes,Thraupidae,Saltator,Saltator atripennis,Black-winged Saltator,,,,,,,0
Passeriformes,Thraupidae,Saltator,Saltator olivascens,Olive-gray Saltator,,,,,,,0
Passeriformes,Thraupidae,Saltator,Saltator striatipectus,Streaked Saltator,,,,,,,0
Passeriformes,Thraupidae,Saltator,Saltator grossus,Slate-colored Grosbeak,,1,1,,,,1
,,,,,TOTALES:,121,112,81,93,27,Total especies registradas: 169
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
